500    Type Cost/min  "Operation cost" total 
1 1 105  1 1  105 590314 "←-- En esta fórmula, cambiar el límite de la suma hasta el valor de A1+1, que es el número de operaciones a procesar."
2 2 387  2 3  1161  "Por ejemplo, por defecto se calculan 500 operaciones, que son todas las definidas en el fichero → 501."
3 3 545  3 10  5450  "Si se quieren procesar 100, modificar 501 por → 101. "
4 1 514     514  
5 2 23     69  
6 3 503     5030  
7 1 511     511  
8 2 90     270  
9 3 375     3750  
10 1 494     494  
11 2 456     1368  
12 3 141     1410  
13 1 303     303  
14 2 338     1014  
15 1 329     329  
16 2 145     435  
17 3 522     5220  
18 1 79     79  
19 2 379     1137  
20 3 302     3020  
21 1 291     291  
22 2 20     60  
23 3 498     4980  
24 1 431     431  
25 2 291     873  
26 3 186     1860  
27 1 160     160  
28 2 138     414  
29 1 299     299  
30 2 22     66  
31 3 193     1930  
32 1 333     333  
33 2 359     1077  
34 3 223     2230  
35 1 394     394  
36 2 426     1278  
37 3 526     5260  
38 1 461     461  
39 2 314     942  
40 3 232     2320  
41 1 236     236  
42 2 183     549  
43 1 425     425  
44 2 479     1437  
45 3 490     4900  
46 1 427     427  
47 2 37     111  
48 3 514     5140  
49 1 414     414  
50 2 187     561  
51 3 15     150  
52 1 35     35  
53 2 385     1155  
54 3 321     3210  
55 1 493     493  
56 2 193     579  
57 1 470     470  
58 2 152     456  
59 3 218     2180  
60 1 423     423  
61 2 304     912  
62 3 322     3220  
63 1 372     372  
64 2 398     1194  
65 3 294     2940  
66 1 423     423  
67 2 176     528  
68 3 468     4680  
69 1 549     549  
70 2 355     1065  
71 1 69     69  
72 2 95     285  
73 3 139     1390  
74 1 122     122  
75 2 326     978  
76 3 12     120  
77 1 212     212  
78 2 148     444  
79 3 461     4610  
80 1 483     483  
81 2 171     513  
82 3 317     3170  
83 1 522     522  
84 2 449     1347  
85 1 446     446  
86 2 474     1422  
87 3 401     4010  
88 1 423     423  
89 2 506     1518  
90 3 317     3170  
91 1 359     359  
92 2 264     792  
93 3 367     3670  
94 1 340     340  
95 2 79     237  
96 3 486     4860  
97 1 236     236  
98 2 34     102  
99 1 22     22  
100 2 79     237  
101 3 321     3210  
102 1 145     145  
103 2 86     258  
104 3 25     250  
105 1 150     150  
106 2 156     468  
107 3 208     2080  
108 1 207     207  
109 2 258     774  
110 3 432     4320  
111 1 376     376  
112 2 497     1491  
113 1 213     213  
114 2 88     264  
115 3 370     3700  
116 1 510     510  
117 2 164     492  
118 3 125     1250  
119 1 488     488  
120 2 132     396  
121 3 83     830  
122 1 75     75  
123 2 176     528  
124 3 372     3720  
125 1 383     383  
126 2 154     462  
127 1 308     308  
128 2 360     1080  
129 3 408     4080  
130 1 197     197  
131 2 257     771  
132 3 421     4210  
133 1 499     499  
134 2 170     510  
135 3 264     2640  
136 1 231     231  
137 2 112     336  
138 3 151     1510  
139 1 59     59  
140 2 108     324  
141 1 443     443  
142 2 146     438  
143 3 254     2540  
144 1 422     422  
145 2 30     90  
146 3 521     5210  
147 1 386     386  
148 2 451     1353  
149 3 355     3550  
150 1 476     476  
151 2 384     1152  
152 3 397     3970  
153 1 236     236  
154 2 60     180  
155 1 241     241  
156 2 109     327  
157 3 372     3720  
158 1 82     82  
159 2 318     954  
160 3 89     890  
161 1 146     146  
162 2 191     573  
163 3 377     3770  
164 1 282     282  
165 2 217     651  
166 3 56     560  
167 1 161     161  
168 2 166     498  
169 1 236     236  
170 2 81     243  
171 3 443     4430  
172 1 532     532  
173 2 10     30  
174 3 344     3440  
175 1 347     347  
176 2 45     135  
177 3 100     1000  
178 1 424     424  
179 2 416     1248  
180 3 64     640  
181 1 397     397  
182 2 367     1101  
183 1 46     46  
184 2 403     1209  
185 3 356     3560  
186 1 251     251  
187 2 57     171  
188 3 257     2570  
189 1 206     206  
190 2 327     981  
191 3 478     4780  
192 1 525     525  
193 2 17     51  
194 3 544     5440  
195 1 391     391  
196 2 274     822  
197 1 362     362  
198 2 217     651  
199 3 223     2230  
200 1 488     488  
201 2 452     1356  
202 3 287     2870  
203 1 206     206  
204 2 488     1464  
205 3 390     3900  
206 1 296     296  
207 2 270     810  
208 3 491     4910  
209 1 194     194  
210 2 205     615  
211 1 35     35  
212 2 16     48  
213 3 313     3130  
214 1 527     527  
215 2 251     753  
216 3 115     1150  
217 1 261     261  
218 2 101     303  
219 3 399     3990  
220 1 179     179  
221 2 159     477  
222 3 188     1880  
223 1 511     511  
224 2 29     87  
225 1 318     318  
226 2 208     624  
227 3 274     2740  
228 1 482     482  
229 2 100     300  
230 3 428     4280  
231 1 108     108  
232 2 130     390  
233 3 229     2290  
234 1 259     259  
235 2 304     912  
236 3 317     3170  
237 1 119     119  
238 2 103     309  
239 1 71     71  
240 2 19     57  
241 3 273     2730  
242 1 175     175  
243 2 520     1560  
244 3 537     5370  
245 1 195     195  
246 2 86     258  
247 3 89     890  
248 1 333     333  
249 2 406     1218  
250 3 382     3820  
251 1 446     446  
252 2 199     597  
253 1 428     428  
254 2 311     933  
255 3 52     520  
256 1 514     514  
257 2 58     174  
258 3 280     2800  
259 1 434     434  
260 2 53     159  
261 3 268     2680  
262 1 357     357  
263 2 82     246  
264 3 176     1760  
265 1 534     534  
266 2 159     477  
267 1 475     475  
268 2 84     252  
269 3 266     2660  
270 1 185     185  
271 2 21     63  
272 3 475     4750  
273 1 446     446  
274 2 65     195  
275 3 26     260  
276 1 393     393  
277 2 17     51  
278 3 173     1730  
279 1 414     414  
280 2 411     1233  
281 1 351     351  
282 2 190     570  
283 3 539     5390  
284 1 445     445  
285 2 154     462  
286 3 419     4190  
287 1 165     165  
288 2 488     1464  
289 3 47     470  
290 1 199     199  
291 2 285     855  
292 3 124     1240  
293 1 87     87  
294 2 506     1518  
295 1 247     247  
296 2 429     1287  
297 3 79     790  
298 1 366     366  
299 2 340     1020  
300 3 74     740  
301 1 387     387  
302 2 110     330  
303 3 124     1240  
304 1 311     311  
305 2 93     279  
306 3 386     3860  
307 1 158     158  
308 2 325     975  
309 1 246     246  
310 2 521     1563  
311 3 485     4850  
312 1 322     322  
313 2 184     552  
314 3 76     760  
315 1 292     292  
316 2 513     1539  
317 3 161     1610  
318 1 210     210  
319 2 387     1161  
320 3 187     1870  
321 1 276     276  
322 2 382     1146  
323 1 391     391  
324 2 383     1149  
325 3 94     940  
326 1 126     126  
327 2 10     30  
328 3 523     5230  
329 1 80     80  
330 2 527     1581  
331 3 535     5350  
332 1 511     511  
333 2 181     543  
334 3 484     4840  
335 1 89     89  
336 2 70     210  
337 1 481     481  
338 2 495     1485  
339 3 190     1900  
340 1 6     6  
341 2 306     918  
342 3 57     570  
343 1 102     102  
344 2 165     495  
345 3 62     620  
346 1 27     27  
347 2 69     207  
348 3 387     3870  
349 1 188     188  
350 2 287     861  
351 1 457     457  
352 2 339     1017  
353 3 504     5040  
354 1 61     61  
355 2 76     228  
356 3 313     3130  
357 1 83     83  
358 2 525     1575  
359 3 229     2290  
360 1 86     86  
361 2 83     249  
362 3 324     3240  
363 1 262     262  
364 2 395     1185  
365 1 189     189  
366 2 169     507  
367 3 136     1360  
368 1 459     459  
369 2 496     1488  
370 3 121     1210  
371 1 430     430  
372 2 427     1281  
373 3 43     430  
374 1 362     362  
375 2 415     1245  
376 3 215     2150  
377 1 35     35  
378 2 148     444  
379 1 260     260  
380 2 99     297  
381 3 178     1780  
382 1 263     263  
383 2 411     1233  
384 3 110     1100  
385 1 332     332  
386 2 505     1515  
387 3 177     1770  
388 1 240     240  
389 2 21     63  
390 3 438     4380  
391 1 207     207  
392 2 323     969  
393 1 546     546  
394 2 230     690  
395 3 180     1800  
396 1 211     211  
397 2 434     1302  
398 3 438     4380  
399 1 550     550  
400 2 382     1146  
401 3 60     600  
402 1 84     84  
403 2 298     894  
404 3 149     1490  
405 1 58     58  
406 2 29     87  
407 1 155     155  
408 2 180     540  
409 3 472     4720  
410 1 172     172  
411 2 190     570  
412 3 370     3700  
413 1 102     102  
414 2 40     120  
415 3 98     980  
416 1 470     470  
417 2 23     69  
418 3 296     2960  
419 1 168     168  
420 2 160     480  
421 1 172     172  
422 2 312     936  
423 3 404     4040  
424 1 100     100  
425 2 69     207  
426 3 199     1990  
427 1 535     535  
428 2 433     1299  
429 3 112     1120  
430 1 283     283  
431 2 509     1527  
432 3 119     1190  
433 1 353     353  
434 2 216     648  
435 1 281     281  
436 2 279     837  
437 3 538     5380  
438 1 415     415  
439 2 531     1593  
440 3 384     3840  
441 1 449     449  
442 2 376     1128  
443 3 468     4680  
444 1 484     484  
445 2 116     348  
446 3 199     1990  
447 1 64     64  
448 2 482     1446  
449 1 532     532  
450 2 33     99  
451 3 508     5080  
452 1 207     207  
453 2 207     621  
454 3 273     2730  
455 1 444     444  
456 2 111     333  
457 3 43     430  
458 1 487     487  
459 2 333     999  
460 3 186     1860  
461 1 407     407  
462 2 474     1422  
463 1 548     548  
464 2 257     771  
465 3 271     2710  
466 1 165     165  
467 2 447     1341  
468 3 501     5010  
469 1 141     141  
470 2 338     1014  
471 3 421     4210  
472 1 200     200  
473 2 426     1278  
474 3 352     3520  
475 1 58     58  
476 2 546     1638  
477 1 69     69  
478 2 10     30  
479 3 503     5030  
480 1 526     526  
481 2 384     1152  
482 3 157     1570  
483 1 364     364  
484 2 293     879  
485 3 46     460  
486 1 77     77  
487 2 75     225  
488 3 154     1540  
489 1 366     366  
490 2 123     369  
491 1 424     424  
492 2 419     1257  
493 1 36     36  
494 2 234     702  
495 3 300     3000  
496 1 37     37  
497 3 402     4020  
498 2 179     537  
499 2 499     1497  
500 1 218     218  
